Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Rating
1.0,application developer,LinkedIn,2321554431,Application Developer - Flexible Office Homeoffice Remote,AGVhpAPXAVu8vx4FiKtqrA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Computer Software'],"We are looking for a qualified Application Developer to design and code functional programs and applicationsYou will work as part of a team and individually with little supervisionA great Application Developer has excellent knowledge of at least one programming languageThey must be familiar with a variety of operating systems and platformsThe ideal candidate will also have an analytical mindset and a keen eye for detailThe goal is to write clean and flawless code to produce fully functional software applications according to requirementsResponsibilitiesPerform unit and integration testing before launchDevelop technical documents and handbooks to accurately represent application design and codeUnderstand client requirements and how they translate in application featuresEvaluate existing applications to reprogram, update and add new featuresConduct functional and nonfunctional testingRequirementsA team player with excellent communication skillsExcellent understanding of software design and programming principlesProven experience as application developerGreat attention to detail and timemanagement skillsExperience in designing and building applications",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321554431?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F3f5e13ab-fb4b-47be-9ca1-51e67101a037%3Fjid%3Dc0f29ebe0ec5a62bb728ca25f5fb8c5624e5291afd1e87e482a23b25b79f4e01%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=qZee&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-flexible-office-homeoffice-remote-at-talent-2321554431?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=AGVhpAPXAVu8vx4FiKtqrA%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01,
3.0,application developer,LinkedIn,2322195657,Application Developer - Delft,Pgm7anDFbXpaBCcyPJ8gEg==,ParaPy,"Delft, South Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Do you want to combine your expertise in webtechnology stacks with programming in Python Want to work in a vibrant scaleup company Then Parapy is looking for you Your role We are looking for an allround champion in both engineering design and software development to join our talented team of application developers On the one hand you love to solve challenging engineering problems and get to know all ins and outs of a good design On the other hand, you are eager to develop custom applications in close collaboration with our customers You will have a large impact on the success of our customers and ParaPy You enjoy helping our customers to become a star in ParaPy too and provide valuable feedback to our development team to improve our platform Your profile Master of Science in Mechanical Engineering, Aerospace or equivalent 2 years of professional working experience Fluent in Python and preferably another language Able to translate user needs into working solutions Excited about engineering master pieces and technology What we offer A good salary and the opportunity to grow with the company Work in a highly talented team and in an open learning environment Energizing atmosphere in the inspiring tech incubator of YesDelft Biweekly demos and presentations followed by Friday afternoon drinks",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322195657?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D22c45cf94726%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecddeeadd8ddcbddb9addaadagdd7addcfdd93deecdcafec3ddcg3e&urlHash=xpQP&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-delft-at-parapy-2322195657?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=Pgm7anDFbXpaBCcyPJ8gEg%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01,
5.0,application developer,LinkedIn,2326320293,"Application Developer, Delft",jne49LxsmQa8axENiUwSPA==,ParaPy,"Delft, South Holland, Netherlands",['Computer Software'],"Do you want to combine your expertise in webtechnology stacks with programming in Python Want to work in a vibrant scaleup company Then Parapy is looking for you Your roleWe are looking for an allround champion in both engineering design and software development to join our talented team of application developers On the one hand you love to solve challenging engineering problems and get to know all ins and outs of a good design On the other hand, you are eager to develop custom applications in close collaboration with our customers You will have a large impact on the success of our customers and ParaPy You enjoy helping our customers to become a star in ParaPy too and provide valuable feedback to our development team to improve our platformYour profile Master of Science in Mechanical Engineering, Aerospace or equivalent 2 years of professional working experience Fluent in Python and preferably another language Able to translate user needs into working solutions Excited about engineering master pieces and technology What we offer A good salary and the opportunity to grow with the company Work in a highly talented team and in an open learning environment Energizing atmosphere in the inspiring tech incubator of YesDelft Biweekly demos and presentations followed by Friday afternoon drinks 7a2dfd2c690183676d8f6ced6c87dbf7",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326320293?url=https%3A%2F%2Fjoblift%2Enl%2Fjoblink%3Fto%3DeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9%2EeyJvZmZlcklkIjoiMzUyMTIyNWItZjU5ZS00MTgxLTkxZmQtODZhYTlhYTBjMjY2In0%2EGmw5NIfijaHIYLHS8YfaySYB4xGMzPGrqJ_fsYWp0v8%26jid%3D6734c87afbaf8013231a10e660cdf735d6e8c465e4cb81853b8c281340a8260e%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D621&urlHash=Jf2A&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-delft-at-parapy-2326320293?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=jne49LxsmQa8axENiUwSPA%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01,
6.0,application developer,LinkedIn,2305861607,Application Developer - Amsterdam,Ji0gNLPoeeBjxSCnUIfTAw==,IT recruitment company,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']","Functie, , Application Developer, , Aanvraagnummer, , 93987, , Expertise, , C, SQL, ASPNET, JavaScript, , Regio, , Amsterdam, , Startdatum, , ASAP, , Duur, , Vast dienstverband, , Werkzaamheden, , The Application Developer takes care of the development and maintenance of Business applications within the organisation Problems or incidents regarding the applications are taken up and solved effectively by the Application Developer, , Main responsibilities, , Software Development Maintain smooth operation of applications and design, develop and implement new applications and new application functions to improve efficiency and effectiveness of operations and to gain competitive advantage Software Incident  Problem management Deliver effective and efficient support to users having incidents or problems regarding applications Ensure the participation of 2nd or 3rd line support if needed Keep Clientele related documentation uptodate Continuous improvement Signal and take action upon malfunctions in processes and procedures and propose improvements, , Job requirements, , Degree in Computer science or Information Systems or related field Experience in customer contact applications and technology Minimum of 5 years experience working in application development Deep understanding and experience with JavaScript required Good understanding of advanced JavaScript libraries and frameworks such as AngularJS  ReactJS Experience in frontend technologies such as HTML5 and CSS3 General knowledge of or experience in EGlue, SQL, DLL, SOAP, XML, WSDL, C, ASPNET Experience with software development methodologies A good working knowledge of current commodity ICT applications and systems Good communication skills in English written and spoken, , Competencies, , Building  maintaining relationships Planning  organising Analysis  problem solving Communication skills Cross functional awareness Initiative Persuasiveness Drive  execution",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305861607?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D0a38a951dfe7%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcadfeddd8dd8badf9dd7addbgddfaadcfada3aebcdc9fec3ddcg3e&urlHash=P85l&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-amsterdam-at-it-recruitment-company-2305861607?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=Ji0gNLPoeeBjxSCnUIfTAw%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01,
7.0,application developer,LinkedIn,1959086170,Back-End Development Lead,a+QZAAuyjhurRD7mwJzuZg==,Everon,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Automotive']","At Everon, we make expansion into EV charging easy and profitable, now and in the future With a focus on the larger movers and forces in the industry, Everon is the worlds premier cloudnative and multitenant PlatformasaService Built from the ground up to be global, future proof, APIfirst and highly scalable and secure",Full-time,https://www.linkedin.com/jobs/view/externalApply/1959086170?url=https%3A%2F%2Feveron%2Eio%2Fteam%2F%3Fgh_jid%3D4179698003&urlHash=vCBe&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/back-end-development-lead-at-everon-1959086170?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=a%2BQZAAuyjhurRD7mwJzuZg%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01,
8.0,application developer,LinkedIn,2326811107,Application Developer - Office Homeoffice Remote Flexible - Amsterdam Metropolitan Area,9Tw21+W571ek5bE11OrI3Q==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for a qualified Application Developer to design and code functional programs and applicationsYou will work as part of a team and individually with little supervisionA great Application Developer has excellent knowledge of at least one programming languageThey must be familiar with a variety of operating systems and platformsThe ideal candidate will also have an analytical mindset and a keen eye for detailThe goal is to write clean and flawless code to produce fully functional software applications according to requirementsResponsibilitiesPerform unit and integration testing before launchDevelop technical documents and handbooks to accurately represent application design and codeUnderstand client requirements and how they translate in application featuresEvaluate existing applications to reprogram, update and add new featuresConduct functional and nonfunctional testingRequirementsA team player with excellent communication skillsExcellent understanding of software design and programming principlesProven experience as application developerGreat attention to detail and timemanagement skillsExperience in designing and building applications",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326811107?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D0b2b4ed36606%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcadeedde8adebddc9adbaadcgdddaddafdda3degcdcafec3ddcg3e&urlHash=fAfn&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/application-developer-office-homeoffice-remote-flexible-amsterdam-metropolitan-area-at-talent-2326811107?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=9Tw21%2BW571ek5bE11OrI3Q%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01,
9.0,application developer,LinkedIn,2025048673,Application Developer,nb9tTaXIABi4J3RtBujGGQ==,Selfcare BV,"Breda, North Brabant, Netherlands","['Health, Wellness and Fitness']","We need your skills and ambition to bring our Personal Health Record to the next level Contact us when you, Work at midsenior level in NET at least 3 year experience working in Healthcare or safety service, Basic knowledge of web technologies such as HTML5, Angular 8, CSS and NET Rest APIs",Contract,,https://nl.linkedin.com/jobs/view/application-developer-at-selfcare-bv-2025048673?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=nb9tTaXIABi4J3RtBujGGQ%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01,
13.0,application developer,LinkedIn,2319614750,Senior Backend Developer,BW6KXgpi2YZb6dzTX8/QQA==,Wonderkind,"Amsterdam, North Holland, Netherlands",['Computer Software'],"About Wonderkind, We truly believe theres a Wonderkind One of a kind, unique Talent in all of us With our Talent Attraction Technology, we enable our users to deliver visual content proactively to specific interestbased talent segments on platforms theyre using on a daily basis We encourage talent to follow their dreams and do the job they really love The job that matches their true interests Were on a mission to inspire millions of candidates to do the job they really love",Full-time,,https://nl.linkedin.com/jobs/view/senior-backend-developer-at-wonderkind-2319614750?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=BW6KXgpi2YZb6dzTX8%2FQQA%3D%3D&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01,
14.0,application developer,LinkedIn,2327347300,Senior Backend Developer - Amsterdam,cI/GTeUBtlUtfbB/OKffUA==,24sessions,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Job Description, , About 24sessions, , 24sessions is innovating customer interaction We are a fastgrowing scaleup in Amsterdam Our SaaS solution is leading when it comes to customer interaction via videochat We are helping organizations like Rabobank, ING, AEGON, NUON shape the future of customer satisfaction Google, McKinsey  Rocket Internet recently elected us 1 of the 10 best B2B startups in Europe 24sessions has been expanding rapidly and we want to remain the best video solution in the market Thats why were looking for a talented developer to climb onboard on an incredible journey Join 24sessions as our, , Senior Backend Developer, , , , Part of being the best video solution is making sure our virtual videomeeting environment runs like clockwork Our product team consists of 2 squads As Sr Backend Developer you would become part of the squad responsible for product APIs and microservices that process data, integrate with external systems, and leverage different AWS services SNS, SQS, S3, RDS, ElasticSearch, etc for better data accessibility and internal communication between themselves The squad is also responsible for core backend libraries and microservices used throughout the whole SaaS solution Some microservices are developed on PHP but the majority of them are on GoLang, thus this would be a great opportunity for you to learn GoLand in practice and use it to create new, fast and reliable microservices Each microservice we build lives inside the Docker container, thus Docker is one of the essential tools every backend developer at 24sessions uses As such we are looking for someone with an exceptional feel for software development and PHP and keen to learn GoLang Someone who is eager to work using a fresh tech stack, open for innovation, and gets the energy from solving business problems with technology We are offering you the opportunity to play a key part in a company that is truly innovating customer interaction, , What will we offer, , You will have an excellent opportunity to work in and learn from a high performing team, , 24sessions is an international team of talented people from different cultural backgrounds Work for a rapidly growing startup The energy that this brings is exciting and motivating If you are able to deliver, you will have a clear career path in front of you A personal training budget to make sure you get formal training, as well as practical training through intensive coaching by your manager Company laptop Travel allowance Holiday pay 8 of your annual salary and 25 leave days per year Stock options when you get your contract extension You will coown part of our company Unlimited pingpong  daily walks with your colleagues, , , , What do we look for, , Bachelors or Masters degree, further education or experience in engineering, computer science or another technical related field 4 years of relevant work experience Experience with PHP, , Experience with and GoLang is a plus Experience in building integrations with enterprise systems Can independently come up with a pragmatic integration solution Experience in communication with remote parties Understand and appreciate the goal of microservices in architecture Experience with largescale distributed storage and database systems SQL or NoSQL, eg MySQL, Cassandra Experience working with AWS especially EC2, SQS, SNS Handson experience with continuous deliverydeployment Experience with the internals of Docker, , Excellent communication and written skills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327347300?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Dcc5b4591d0f6%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfaddcaddeddb8adebddc9ddbadd7gddfaadcfddg3aeacdcafec3ddcg3e&urlHash=aKBM&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-backend-developer-amsterdam-at-24sessions-2327347300?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=cI%2FGTeUBtlUtfbB%2FOKffUA%3D%3D&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01,
15.0,application developer,LinkedIn,2285467333,Back-End Development Lead,/CY9bRL1sZoE53G32JXY7A==,Everon,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']","At Everon, we make expansion into EV charging easy and profitable, now and in the future With a focus on the larger movers and forces in the industry, Everon is the worlds premier cloudnative and multitenant PlatformasaService Built from the ground up to be global, future proof, APIfirst and highly scalable and secure, , As , your main responsibilities are ensuring the continuous development and innovation of our software solutions, whilst leading a team of highly talented individuals who are building and improving the cloud services and apps that support our charging stations Your software will handle load balancing and interoperability with roaming partners In the upcoming months, we will start to improve our platform so that it charges the car when energy is cheapest and feeds it back into the house when its expensive, all while keeping the car sufficiently charged for everyday use, , We expect that approximately 65 of your time will be spent on handson development with the team, and the other 35 will consist of leading and coaching the team, , , , , , , , , , , , , We would be more than happy if you also have these bonus skills, , , , , In addition to collaborating with a dynamic group of top industry and subject matter experts, we will provide you a competitive salary and the following benefits option to work from home partially, highend laptop  related equipment, contribution to private pension fund, discounted health insurance, 25 days holiday unpaid leave possible and homeoffice travel compensation, , Our modern office in Amsterdam OudZuid a super sustainable building always has free fruit and great coffee available We will actively encourage your growth in the business and will support you to realize your goals whilst you make your mark on this evolving industry, , , , Were building a team of problem solvers and makers People with a proactive attitude and the drive to change the future of mobility From developers to designers, managers and specialists our office welcomes professionals from different backgrounds and values diversity as a strength We currently have over 140 people working with us from 33 different nationalities Together we make a global platform, powered by datadriven services, , Are you ready to join our mission Build a platform, cut emissions, change the future",Full-time,https://www.linkedin.com/jobs/view/externalApply/2285467333?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Feveron%2Fjobs%2F4179698003&urlHash=gjM6&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/back-end-development-lead-at-everon-2285467333?refId=e4603932-57d5-45f6-99cf-36a3d1feca33&trackingId=%2FCY9bRL1sZoE53G32JXY7A%3D%3D&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-22,2020-12-01,
