Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Rating
1.0,linguist,LinkedIn,2282589994,Linguist (Arabic) (P-3),MlNvOkJKTz+qjUzB+i7U5w==,Organisation for the Prohibition of Chemical Weapons OPCW,"The Hague, South Holland, Netherlands","['Nonprofit Organization Management', 'Research', 'Government Administration']","About UsThe Secretariat for the PolicyMaking Organs facilitates meetings and wider consultations between States Parties and the Technical Secretariat, ensuring substantive and operative support to the policymaking organs and their subsidiary bodies in their decision making processes, including the followup and implementation of their decisionsIn support of this, the Secretariat for the PolicyMaking Organs is responsible for the setting of agendas, coordination and meeting support for all scheduled and unscheduled meetings, provision of internal guidance including language and documentprocessing support to ensure the timely circulation of officialseries documents, and provision of reprographic services within the OrganisationThe Language Services Branch provides the Organisation and its PolicyMaking Organs with linguistic support editorial, interpretation, and translation services to assist in their decisionmaking processes, as well as in the followup and implementation of their decisionsThe successful candidate will carry out translationinterpretation and quality control tasks for a variety of projects, ensuring that the translations are clear, coherent and completed on time This role will involve translation from recordedwritten communications or interpretation as people are speaking The office desk will often be replaced by soundproof booths, where you will listen to speakers through headphones and then deliver their translations through microphones You may also interpret directly from the conference tables of speakers, or to a limited audience at press conferences and private meetings The importance of translated information goes far beyond the conference room Translations of major documents are often cited by the media, quoted in statements and incorporated into legislationThis role requires great concentration and splitsecond accuracy to be able to precisely translate speeches as they are occurring You must have excellent oral comprehension skills, versatility, and an ability to stay calm under pressure and complete tasks within prescribed deadlines You will work with other language experts, and to share credit equally with others and to accept responsibility for any team issues will be a few of your daily challengesTo view the complete job outline, please click hereYou should have a degree or equivalent qualification, preferably in translation and interpretation, from a university or an institution of equivalent statusMake sure you have at least 5 years with an advanced degree or 7 years with a firstlevel degree of continuous translation and interpretation experience, preferably within the United Nations SystemTo succeed in this role you will need the following skills and competenciesFluency in English is essential and a good working knowledge of one of the other official languages Arabic, Chinese, French, Russian, and Spanish is desirableThis fixedterm appointment is for the duration of two years with a sixmonth probationary period, and is subject to the OPCW Staff Regulations and Interim Staff RulesThe OPCW is a noncareer organisation with limited staff tenure The total length of service for Professional staff shall not exceed 7 yearsThe DirectorGeneral retains the discretion to not make any appointment to this vacancy, to make an appointment at a lower grade, or to make an appointment with a modified job description Several vacancies may be filledOnly applications submitted before the closing date and through OPCW CandidateSpace will be considered Only applicants under serious consideration for a post will be contactedApplications from qualified female candidates are strongly encouragedOPCW General Terms and ConditionsAlthough headquartered in the Netherlands, the OPCW is not a regular Dutch employer but a public international organisation with its own special status Please be advised that if you are currently insured under the Dutch Social Security system, you will be excluded from this system as a staff member of the OPCW You will consequently be insured under the organisations system The above also applies to your dependents unless they are employed by a regular Dutch employer, they are selfemployed in the Netherlands, or are receiving Dutch social security paymentsPlease refer to the website of the Ministry of Social Affairs and Employment for more information about the possible consequences for you and your dependents, such as exclusion from AWBZ and Zorgverzekeringswet coverage  Werken bij een internationale organisatie ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282589994?url=https%3A%2F%2Fwww%2Eimpactpool%2Eorg%2Fjobs%2F644214&urlHash=SrXd&refId=684e5337-02ea-456b-923a-70d27b5cc5ea&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/linguist-arabic-p-3-at-organisation-for-the-prohibition-of-chemical-weapons-opcw-2282589994?refId=684e5337-02ea-456b-923a-70d27b5cc5ea&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-20,2020-11-20,
2.0,linguist,LinkedIn,2251537626,Translator,c78xfthTSj2nzza6xPNL7g==,Yersal,"Amsterdam, North Holland, Netherlands",['Translation and Localization'],Yersal is a new and innovative onlinecompany that focuses on translating content from one language to another with a community perspective No one speaks or writes the same There are differences and similarities that will have to be looked into for the best outcome,Contract,,https://nl.linkedin.com/jobs/view/translator-at-yersal-2251537626?refId=684e5337-02ea-456b-923a-70d27b5cc5ea&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-20,2020-11-20,
3.0,linguist,LinkedIn,2200108316,Freelance Translator/ Proofreader (Chinese to English),RuQTXnZnQ9uuzpBWoGaYOw==,Binance,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Internet', 'Financial Services']","Please note, all positions at Binance require relevant experience Applications without required experience will not be consideredBinance is the global blockchain company behind the worlds largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money for people around the worldAre you looking to be a part of one of the most influential companies in the blockchain industry and contribute to the cryptocurrency revolution that is changing the worldInterested candidates are invited to submit their CVs in English along with their preferred rates per word preferably in USD Candidates with relevant expertise and experience will be asked to perform a test Only successful candidates will be contacted for an interview",Full-time,https://www.linkedin.com/jobs/view/externalApply/2200108316?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fbinance%2F24c4a0d2-8346-4a72-8e82-cc618c37f937%3Flever-source%3DLinkedInJobs&urlHash=cbj9&refId=684e5337-02ea-456b-923a-70d27b5cc5ea&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/freelance-translator-proofreader-chinese-to-english-at-binance-2200108316?refId=684e5337-02ea-456b-923a-70d27b5cc5ea&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-20,2020-11-20,
4.0,linguist,LinkedIn,2312924461,Data Translator - Amsterdam,WS5xST+wTzO/hOvVtIa0sQ==,Stichting White Helmets Foundation,"Amsterdam, North Holland, Netherlands","['Nonprofit Organization Management', 'Staffing and Recruiting', 'Financial Services']","Job Title Data TranslatorDuty Station The NetherlandsLine Manager VDT Archive ManagerFull Timeis a not for profit Organisation registered at the Amsterdam Chamber of Commerce The Foundation aims to provide aid to communities and persons recovering from conflicts and disasters provide support and orientation to refugees and communities in hosting countries support justice and Human Rights effortsThe Visual Documentation Team VDT Project is a Justice and Accountability Project that addresses relevant issues in Syria The project aims at assisting transitional justice mechanisms, and other research processes Due to the nature of the project, staff involved will likely be required to work with potentially graphic contentThe Data Translator is responsible for interpreting written or spoken material, creating glossaries or term dictionaries",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312924461?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Da93974d189a4%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadfcdd7gddd9dd77dd99ddcbadcgddfadd8fdd73aefcdccfec3ddcg3e&urlHash=gzUH&refId=684e5337-02ea-456b-923a-70d27b5cc5ea&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/data-translator-amsterdam-at-stichting-white-helmets-foundation-2312924461?refId=684e5337-02ea-456b-923a-70d27b5cc5ea&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-20,2020-11-20,
7.0,linguist,LinkedIn,2276656259,Freelance English to Dutch Translator,8eUzCFCORomT6F5BMkN+Ag==,Doist,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","At Doist, our mission is to inspire the workplace of the future by creating simple yet powerful productivity tools that promote a more fulfilling way to work and liveWere a multidisciplinary, fully remote team thats passionate about creating products, like Todoist and Twist, that improve peoples lives We thrive on innovating new solutions to old productivity challenges and we seek to rethink how productivity tools are madeOur Core ValuesThey are few, but they are mighty From creating processes to decisionmaking and recruiting, we build our five core values into nearly every single thing we doDaytoday workWere looking for a native Dutch speaker who has a demonstrated passion and experience for translation In this parttime role, you will deliver excellent translation services, delighting our customers with a localized app, help center, and marketing content Youll collaborate closely with localization project managers to develop specific terminology for new features which will shape the Doist voice for your local marketregion You will also be responsible for identifying and addressing linguistic issues and maintaining language references such as a glossary and style guideIndicators this could be a good role for youDoist is a diverse, remotefirst team thats committed to building a sustainable company that will continue to grow for decades to comeSome benefits includeAll information collected through this application is stored in Workable, Doists Applicant Tracking System, where it will be used for recruitment purposes only For more information on how we handle candidate data at",Contract,https://www.linkedin.com/jobs/view/externalApply/2276656259?url=https%3A%2F%2Fapply%2Eworkable%2Ecom%2Fj%2F6DAEF4EDC6&urlHash=FPsU&refId=684e5337-02ea-456b-923a-70d27b5cc5ea&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/freelance-english-to-dutch-translator-at-doist-2276656259?refId=684e5337-02ea-456b-923a-70d27b5cc5ea&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-20,2020-11-20,
8.0,linguist,LinkedIn,2282568458,Data Translator,MbGt//NLSeyz1GPdXKla8A==,Stichting White Helmets Foundation,"Amsterdam, North Holland, Netherlands",None,"Job Title Data TranslatorDuty Station The NetherlandsLine Manager VDT Archive ManagerFull Timeis a not for profit Organisation registered at the Amsterdam Chamber of Commerce The Foundation aims to provide aid to communities and persons recovering from conflicts and disasters provide support and orientation to refugees and communities in hosting countries support justice and Human Rights effortsThe Visual Documentation Team VDT Project is a Justice and Accountability Project that addresses relevant issues in Syria The project aims at assisting transitional justice mechanisms, and other research processes Due to the nature of the project, staff involved will likely be required to work with potentially graphic contentThe Data Translator is responsible for interpreting written or spoken material, creating glossaries or term dictionaries",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282568458?url=https%3A%2F%2Fwww%2Eidealist%2Eorg%2Fen%2Fnonprofit-job%2F7c2c7922c70b4b25a810a1a291b69879-data-translator-stichting-white-helmets-foundation-amsterdam&urlHash=wkVe&refId=684e5337-02ea-456b-923a-70d27b5cc5ea&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/data-translator-at-stichting-white-helmets-foundation-2282568458?refId=684e5337-02ea-456b-923a-70d27b5cc5ea&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-20,2020-11-20,
9.0,linguist,LinkedIn,2243912734,Freelance Translator (Dutch) - Product Localization,yO7ZXFvcQtWbM/7Gy7rG4Q==,Cryptocom,Netherlands,"['Financial Services', 'Banking', 'Information Technology and Services']","Company DescriptionCryptocom was founded in 2016 on a simple belief its a basic human right for everyone to control their money, data and identity With over 3 million users on its platform today, Cryptocom provides a powerful alternative to traditional financial services, turning its vision of cryptocurrency in every wallet into reality, one customer at a time Cryptocom is built on a solid foundation of security, privacy and compliance and is the first cryptocurrency company in the world to have ISOIEC 270012013, CCSS Level 3, ISOIEC 277012019 and PCIDSS 321, Level 1 compliance Cryptocom is headquartered in Hong Kong with a 550 strong global team",Part-time,,https://nl.linkedin.com/jobs/view/freelance-translator-dutch-product-localization-at-crypto-com-2243912734?refId=684e5337-02ea-456b-923a-70d27b5cc5ea&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-20,2020-11-20,
10.0,linguist,LinkedIn,2278308196,"Translator (Albanian) (068-2), The Hague",qZkJuFotRR+NudrJjjEpgQ==,Kosovo Specialist Chambers and Specialist Prosecutors Office,"The Hague, South Holland, Netherlands",['Writing and Editing'],"Employment RegimeManagement Level ML2AvailabilityComponentDepartmentUnitSecurity Clearance LevelYesReporting LineThe Translator Albanian reports to the Head of Language Services Unit or other senior LSU staff, as designated by the Head of UnitMain Tasks and ResponsibilitiesEssential Qualifications and ExperienceANDSpecification of Education and Experience",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278308196?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F4d5c740e-568b-46b7-b430-e8f558d09a50%3Fjid%3D33a360b2e7dbfe524f4e4d0d5b7b92610508ac9a00068faa2293e6ced53139d8%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=CFRa&refId=684e5337-02ea-456b-923a-70d27b5cc5ea&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/translator-albanian-068-2-the-hague-at-kosovo-specialist-chambers-and-specialist-prosecutors-office-2278308196?refId=684e5337-02ea-456b-923a-70d27b5cc5ea&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-20,2020-11-20,
11.0,linguist,LinkedIn,2278308194,"Translator (Serbian) (068-1), The Hague",QhWEtfBOTOaUOy78Ys3JpQ==,Kosovo Specialist Chambers and Specialist Prosecutors Office,"The Hague, South Holland, Netherlands",['Writing and Editing'],Employment RegimeManagement Level ML2AvailabilityComponentDepartmentUnitSecurity Clearance LevelYesReporting LineThe Translator Serbian reports to the Head of Language Services Unit LSU or other senior LSU staff as designated by the Head of Language Services UnitMain Tasks and ResponsibilitiesEssential Qualifications and ExperienceANDSpecification of Education and Experience,Full-time,https://www.linkedin.com/jobs/view/externalApply/2278308194?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F202ad16f-d269-4d93-80a7-3e7078123ec3%3Fjid%3D0fa1881ca8f78e427460bcab7ab20da4d84fdd75b053eb3cdf6abc25e27ff11a%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=i35N&refId=684e5337-02ea-456b-923a-70d27b5cc5ea&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/translator-serbian-068-1-the-hague-at-kosovo-specialist-chambers-and-specialist-prosecutors-office-2278308194?refId=684e5337-02ea-456b-923a-70d27b5cc5ea&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-20,2020-11-20,
12.0,linguist,LinkedIn,2278308218,Translator (Albanian) (068-2),oK0t0wuCS2+f7ATLYSwvUw==,Kosovo Specialist Chambers and Specialist Prosecutors Office,"The Hague, South Holland, Netherlands",['Writing and Editing'],"Employment RegimeManagement Level ML2AvailabilityComponentDepartmentUnitSecurity Clearance LevelYesReporting LineThe Translator Albanian reports to the Head of Language Services Unit or other senior LSU staff, as designated by the Head of UnitMain Tasks and ResponsibilitiesEssential Qualifications and ExperienceANDSpecification of Education and Experience",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278308218?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fd8e87658-df57-4343-8d2a-9f2bb68c4c9c%3Fjid%3Da69b659455256b1583e2af021155a6229b2d84b441f495a0002e189fc26a973c%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=K70O&refId=684e5337-02ea-456b-923a-70d27b5cc5ea&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/translator-albanian-068-2-at-kosovo-specialist-chambers-and-specialist-prosecutors-office-2278308218?refId=684e5337-02ea-456b-923a-70d27b5cc5ea&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-20,2020-11-20,
